grupa_wiekowa;plec;wojewodztwo_pacjenta;wojewodztwo_placowki;znacznik_czasu;procedura_icd9;liczba_procedur;liczba_pacjentow
0-18;K;lubelskie;œl¹skie;283;88.721;5;<5
0-18;K;opolskie;œl¹skie;287;88.721;5;<5
0-18;M;œl¹skie;œl¹skie;287;88.721;5;<5
0-18;M;;œl¹skie;277;88.721;5;<5
0-18;M;;œl¹skie;288;89.522;5;<5
0-18;M;;wielkopolskie;281;88.721;5;<5
19-65;K;dolnoœl¹skie;dolnoœl¹skie;277;89.502;5;5
19-65;K;dolnoœl¹skie;dolnoœl¹skie;279;89.501;5;5
19-65;K;dolnoœl¹skie;dolnoœl¹skie;280;89.501;5;5
19-65;K;dolnoœl¹skie;dolnoœl¹skie;282;89.501;5;5
19-65;K;dolnoœl¹skie;dolnoœl¹skie;283;89.502;5;5
19-65;K;dolnoœl¹skie;dolnoœl¹skie;285;89.501;5;5
19-65;K;dolnoœl¹skie;;283;88.721;5;5
19-65;K;kujawsko-pomorskie;kujawsko-pomorskie;277;89.502;5;<5
19-65;K;kujawsko-pomorskie;kujawsko-pomorskie;287;89.41;5;5
19-65;K;kujawsko-pomorskie;œl¹skie;283;88.721;5;<5
19-65;K;³ódzkie;³ódzkie;278;89.501;5;<5
19-65;K;³ódzkie;œl¹skie;289;88.721;5;<5
19-65;K;³ódzkie;œl¹skie;289;89.522;5;<5
19-65;K;lubelskie;lubelskie;279;89.502;5;5
19-65;K;lubelskie;lubelskie;287;89.41;5;5
19-65;K;lubelskie;lubelskie;289;89.501;5;<5
19-65;K;lubuskie;;276;89.522;5;<5
19-65;K;lubuskie;;280;89.522;5;<5
19-65;K;lubuskie;;281;89.522;5;5
19-65;K;ma³opolskie;ma³opolskie;277;89.502;5;5
19-65;K;ma³opolskie;ma³opolskie;288;89.501;5;<5
19-65;K;ma³opolskie;ma³opolskie;289;89.501;5;5
19-65;K;ma³opolskie;œl¹skie;284;89.522;5;<5
19-65;K;ma³opolskie;œl¹skie;286;88.721;5;<5
19-65;K;mazowieckie;kujawsko-pomorskie;289;89.522;5;<5
19-65;K;mazowieckie;mazowieckie;277;89.502;5;5
19-65;K;mazowieckie;mazowieckie;281;89.502;5;5
19-65;K;opolskie;dolnoœl¹skie;288;88.721;5;<5
19-65;K;opolskie;opolskie;277;88.721;5;<5
19-65;K;opolskie;œl¹skie;278;88.721;5;<5
19-65;K;opolskie;œl¹skie;286;89.522;5;<5
19-65;K;opolskie;;281;89.522;5;5
19-65;K;opolskie;;286;89.522;5;5
19-65;K;podkarpackie;podkarpackie;285;89.501;5;5
19-65;K;podkarpackie;podkarpackie;286;89.502;5;<5
19-65;K;podkarpackie;podkarpackie;288;89.502;5;<5
19-65;K;podkarpackie;;277;89.522;5;5
19-65;K;podkarpackie;;279;89.522;5;<5
19-65;K;podkarpackie;;286;89.522;5;<5
19-65;K;podkarpackie;;289;89.522;5;5
19-65;K;podlaskie;podlaskie;277;88.721;5;<5
19-65;K;podlaskie;podlaskie;278;89.502;5;5
19-65;K;podlaskie;podlaskie;283;89.502;5;5
19-65;K;podlaskie;podlaskie;288;88.721;5;5
19-65;K;podlaskie;;283;89.522;5;5
19-65;K;pomorskie;pomorskie;286;89.502;5;5
19-65;K;pomorskie;pomorskie;287;89.502;5;5
19-65;K;pomorskie;;276;89.522;5;5
19-65;K;pomorskie;;280;89.522;5;5
19-65;K;pomorskie;;289;89.522;5;5
19-65;K;œl¹skie;œl¹skie;280;89.501;5;<5
19-65;K;œl¹skie;œl¹skie;282;89.41;5;<5
19-65;K;œwiêtokrzyskie;œwiêtokrzyskie;280;88.721;5;<5
19-65;K;œwiêtokrzyskie;;286;89.522;5;<5
19-65;K;warmiñsko-mazurskie;warmiñsko-mazurskie;284;89.502;5;5
19-65;K;warmiñsko-mazurskie;;279;89.522;5;5
19-65;K;warmiñsko-mazurskie;;283;89.522;5;<5
19-65;K;wielkopolskie;wielkopolskie;279;89.41;5;<5
19-65;K;wielkopolskie;wielkopolskie;281;89.41;5;<5
19-65;K;wielkopolskie;wielkopolskie;285;89.502;5;5
19-65;K;wielkopolskie;wielkopolskie;289;89.502;5;5
19-65;K;zachodniopomorskie;zachodniopomorskie;281;89.502;5;<5
19-65;K;zachodniopomorskie;zachodniopomorskie;289;88.721;5;<5
19-65;K;zachodniopomorskie;;279;89.522;5;5
19-65;K;zachodniopomorskie;;286;89.522;5;<5
19-65;K;;dolnoœl¹skie;278;88.721;5;5
19-65;K;;dolnoœl¹skie;282;88.721;5;<5
19-65;K;;kujawsko-pomorskie;288;88.721;5;5
19-65;K;;³ódzkie;281;88.721;5;5
19-65;K;;³ódzkie;286;88.721;5;5
19-65;K;;³ódzkie;286;89.502;5;5
19-65;K;;³ódzkie;287;89.502;5;<5
19-65;K;;³ódzkie;288;89.502;5;5
19-65;K;;lubelskie;281;88.721;5;<5
19-65;K;;lubelskie;282;89.502;5;5
